# Mask name, center:
RMJ0003B           0:03:50.05   10:04:22.1  2000.0 PA=-140.0 ##

#  Guider center:    0:03:41.78   10:03:51.1

# Selected Objects:

0487134351       00:04:11.698 +10:00:11.69 2000.0 21.15 r 1227 1 0 -98
0777929136       00:04:18.666 +10:00:25.74 2000.0 20.94 r  673 1 0 -98
1267247549       00:04:30.375 +10:00:21.26 2000.0 21.15 r  702 1 0 -98
1309723543       00:04:31.422 +10:00:08.86 2000.0 21.08 r 2258 1 0 -98
8570491349       00:03:25.688 +09:59:32.80 2000.0 21.06 r  280 1 0 -98
9033889324       00:03:36.815 +09:59:56.51 2000.0 20.94 r 2679 1 0 -98
9724663775       00:03:53.378 +09:59:39.69 2000.0 21.33 r  980 1 0 -98
9726279678       00:03:53.445 +09:59:57.27 2000.0 21.83 r  344 1 0 -98
0047033188       00:04:01.122 +09:59:37.97 2000.0 20.31 r 1569 1 0 -98
0384661632       00:04:09.221 +09:59:33.33 2000.0 21.41 r  675 1 0 -98
0819518926       00:04:19.641 +09:59:55.14 2000.0 20.78 r  748 1 0 -98
8386253521       00:03:21.314 +10:01:38.25 2000.0 19.97 r  263 1 0 -98
8885043457       00:03:33.252 +10:01:38.95 2000.0 20.83 r 1823 1 0 -98
9097374498       00:03:38.342 +10:01:41.90 2000.0 21.67 r  172 1 0 -98
9168310787       00:03:40.044 +10:01:30.76 2000.0 20.92 r 2977 1 0 -98
9224932118       00:03:41.398 +10:01:34.80 2000.0 20.83 r 3938 1 0 -98
9230080356       00:03:41.531 +10:01:29.46 2000.0 20.81 r 3069 1 0 -98
9232682382       00:03:41.597 +10:01:35.59 2000.0 21.67 r   29 1 0 -98
9235756310       00:03:41.661 +10:01:47.34 2000.0 22.00 r   44 1 0 -98
9248237780       00:03:41.970 +10:01:51.83 2000.0 21.70 r   53 1 0 -98
9280165466       00:03:42.731 +10:01:44.70 2000.0 21.56 r  343 1 0 -98
9280384324       00:03:42.729 +10:01:41.45 2000.0 21.21 r  409 1 0 -98
9291641489       00:03:42.994 +10:01:32.70 2000.0 21.64 r  692 1 0 -98
9352316832       00:03:44.457 +10:01:49.10 2000.0 20.87 r 3396 1 0 -98
9376281426       00:03:45.024 +10:01:32.84 2000.0 21.52 r  785 1 0 -98
9379474486       00:03:45.116 +10:01:41.74 2000.0 21.16 r  502 1 0 -98
9407972220       00:03:45.776 +10:01:35.15 2000.0 21.56 r  572 1 0 -98
9526642130       00:03:48.643 +10:01:34.89 2000.0 21.30 r  686 1 0 -98
9547624478       00:03:49.144 +10:01:41.86 2000.0 21.71 r  914 1 0 -98
9575820274       00:03:49.809 +10:01:29.63 2000.0 21.49 r  409 1 0 -98
9750317691       00:03:54.002 +10:01:51.57 2000.0 20.24 r 7235 1 0 -98
9768872955       00:03:54.449 +10:01:37.08 2000.0 21.82 r  230 1 0 -98
9798717902       00:03:55.159 +10:01:51.86 2000.0 21.88 r  254 1 0 -98
9855063165       00:03:56.507 +10:01:37.86 2000.0 21.47 r  510 1 0 -98
8590267320       00:03:26.178 +10:01:19.85 2000.0 21.14 r 2493 1 0 -98
8681405068       00:03:28.368 +10:01:13.72 2000.0 21.25 r 1943 1 0 -98
9260007177       00:03:42.256 +10:01:20.01 2000.0 21.24 r  398 1 0 -98
9275914616       00:03:42.629 +10:01:12.13 2000.0 21.07 r 1166 1 0 -98
9276363120       00:03:42.660 +10:01:07.58 2000.0 22.52 r  274 1 0 -98
9291087091       00:03:42.981 +10:01:20.06 2000.0 21.41 r  433 1 0 -98
9303679556       00:03:43.287 +10:01:27.11 2000.0 21.58 r  446 1 0 -98
9534603143       00:03:48.842 +10:01:08.00 2000.0 20.91 r 2527 1 0 -98
9758959504       00:03:54.207 +10:01:26.94 2000.0 20.80 r  969 1 0 -98
9931276764       00:03:58.365 +10:01:18.45 2000.0 21.66 r    6 1 0 -98
0132490392       00:04:03.179 +10:00:59.61 2000.0 21.31 r 1906 1 0 -98
0450427445       00:04:10.826 +10:01:20.88 2000.0 21.63 r  748 1 0 -98
0515281319       00:04:12.355 +10:01:02.39 2000.0 20.59 r 2387 1 0 -98
9223844257       00:03:41.368 +10:00:41.17 2000.0 21.56 r  928 1 0 -98
9327069592       00:03:43.840 +10:00:57.38 2000.0 21.10 r 3061 1 0 -98
9583097585       00:03:50.011 +10:00:50.72 2000.0 21.75 r  199 1 0 -98
9726421640       00:03:53.437 +10:00:33.33 2000.0 20.81 r 3507 1 0 -98
9835432987       00:03:56.048 +10:00:37.28 2000.0 21.28 r 1098 1 0 -98
9931254146       00:03:58.344 +10:00:40.98 2000.0 20.41 r  459 1 0 -98
0199403764       00:04:04.782 +10:00:39.68 2000.0 20.18 r 3986 1 0 -98
0265979386       00:04:06.381 +10:00:56.62 2000.0 21.37 r    9 1 0 -98
9107538677       00:03:38.599 +09:59:24.44 2000.0 21.63 r  452 1 0 -98
9376721880       00:03:45.034 +09:59:04.17 2000.0 20.45 r 4970 1 0 -98
9464778613       00:03:47.158 +09:59:24.78 2000.0 21.08 r 1543 1 0 -98
0028407961       00:04:00.667 +09:59:22.06 2000.0 20.40 r 1012 1 0 -98
0096857186       00:04:02.319 +09:59:19.90 2000.0 20.58 r 3767 1 0 -98
0258989764       00:04:06.202 +09:59:27.87 2000.0 20.80 r 3643 1 0 -98
0270117996       00:04:06.486 +09:59:22.35 2000.0 21.05 r 2529 1 0 -98
0435569479       00:04:10.443 +09:59:26.82 2000.0 20.93 r 1094 1 0 -98
8844086757       00:03:32.265 +10:02:18.82 2000.0 21.62 r   96 1 0 -98
8934573828       00:03:34.436 +10:02:09.94 2000.0 21.31 r 1007 1 0 -98
8993145414       00:03:35.850 +10:02:14.66 2000.0 21.39 r  320 1 0 -98
9223210038       00:03:41.360 +10:01:58.57 2000.0 21.61 r  803 1 0 -98
9334395228       00:03:44.030 +10:02:14.35 2000.0 21.34 r  317 1 0 -98
9385811510       00:03:45.255 +10:02:02.95 2000.0 21.40 r  375 1 0 -98
9569077853       00:03:49.668 +10:02:21.65 2000.0 21.44 r  501 1 0 -98
9680168477       00:03:52.341 +10:02:23.49 2000.0 21.41 r  339 1 0 -98
9786195539       00:03:54.850 +10:02:15.07 2000.0 21.49 r 1137 1 0 -98
9864865451       00:03:56.760 +10:02:14.68 2000.0 20.89 r 3154 1 0 -98
9932840333       00:03:58.399 +10:01:59.02 2000.0 21.65 r   42 1 0 -98
9996244549       00:03:59.902 +10:02:11.90 2000.0 21.37 r  416 1 0 -98
0005976157       00:04:00.135 +10:02:16.81 2000.0 21.01 r 1727 1 0 -98
0029791315       00:04:00.713 +10:02:02.49 2000.0 21.65 r  792 1 0 -98
0083131767       00:04:01.999 +10:02:03.54 2000.0 21.04 r 2222 1 0 -98
0486837099       00:04:11.669 +10:02:19.74 2000.0 21.49 r  156 1 0 -98
0682525710       00:04:16.374 +10:02:15.56 2000.0 21.03 r 2043 1 0 -98
1135606313       00:04:27.265 +10:02:17.30 2000.0 21.70 r   25 1 0 -98
8385810252       00:03:21.271 +10:02:29.31 2000.0 20.74 r 1115 1 0 -98
8552450749       00:03:25.267 +10:02:30.82 2000.0 21.39 r  566 1 0 -98
8715700498       00:03:29.182 +10:02:29.91 2000.0 21.11 r 2514 1 0 -98
8738333972       00:03:29.747 +10:02:40.46 2000.0 21.35 r 2098 1 0 -98
8769069953       00:03:30.489 +10:02:58.19 2000.0 20.74 r  751 1 0 -98
8788047282       00:03:30.925 +10:02:50.30 2000.0 21.23 r  210 1 0 -98
8914659663       00:03:33.936 +10:02:58.04 2000.0 21.77 r  587 1 0 -98
9302077663       00:03:43.238 +10:02:51.61 2000.0 20.49 r 1250 1 0 -98
9381130322       00:03:45.149 +10:02:29.49 2000.0 21.19 r 1768 1 0 -98
9426116591       00:03:46.232 +10:02:48.28 2000.0 21.13 r  509 1 0 -98
9476502604       00:03:47.414 +10:02:36.49 2000.0 21.61 r  884 1 0 -98
9546437140       00:03:49.148 +10:02:49.86 2000.0 21.94 r   60 1 0 -98
9620025342       00:03:50.882 +10:02:44.56 2000.0 20.99 r  842 1 0 -98
9783649942       00:03:54.803 +10:02:58.27 2000.0 20.89 r 6753 1 0 -98
9892151665       00:03:57.419 +10:02:33.61 2000.0 21.35 r  111 1 0 -98
0349478403       00:04:08.383 +10:02:53.59 2000.0 21.01 r 2925 1 0 -98
0503001873       00:04:12.074 +10:02:34.00 2000.0 21.57 r  595 1 0 -98
0508356001       00:04:12.204 +10:02:46.16 2000.0 21.42 r  660 1 0 -98
0646549002       00:04:15.522 +10:02:55.46 2000.0 21.53 r  773 1 0 -98
0759385281       00:04:18.229 +10:02:43.89 2000.0 21.75 r  579 1 0 -98
0938896509       00:04:22.522 +10:02:48.19 2000.0 21.07 r  373 1 0 -98
0955411847       00:04:22.927 +10:02:33.84 2000.0 20.44 r 2817 1 0 -98
1018129743       00:04:24.433 +10:02:57.42 2000.0 20.30 r 2086 1 0 -98
1256560043       00:04:30.167 +10:02:28.62 2000.0 21.30 r  366 1 0 -98
1286002867       00:04:30.860 +10:02:36.97 2000.0 21.17 r   10 1 0 -98
8693853281       00:03:28.668 +10:03:08.26 2000.0 21.04 r 1312 1 0 -98
8741067745       00:03:29.798 +10:03:21.86 2000.0 20.73 r 4486 1 0 -98
8830770517       00:03:31.950 +10:03:00.33 2000.0 21.52 r  322 1 0 -98
8964654370       00:03:35.154 +10:03:11.84 2000.0 21.22 r  499 1 0 -98
9010828253       00:03:36.265 +10:03:23.25 2000.0 21.52 r  673 1 0 -98
9136225842       00:03:39.272 +10:03:16.20 2000.0 21.46 r  739 1 0 -98
9403403739       00:03:45.670 +10:03:09.53 2000.0 21.72 r  461 1 0 -98
9700208361       00:03:52.809 +10:03:23.38 2000.0 21.03 r 1295 1 0 -98
9776341976       00:03:54.607 +10:03:04.52 2000.0 21.14 r  518 1 0 -98
0002357009       00:04:00.054 +10:03:19.43 2000.0 21.22 r  482 1 0 -98
0066352868       00:04:01.606 +10:03:06.81 2000.0 21.68 r  280 1 0 -98
0195588093       00:04:04.692 +10:03:22.61 2000.0 21.76 r  197 1 0 -98
0472362021       00:04:11.331 +10:03:04.43 2000.0 19.38 r   32 1 0 -98
8364445079       00:03:20.751 +10:04:43.83 2000.0 20.90 r 4550 1 0 -98
8692501709       00:03:28.654 +10:04:33.46 2000.0 21.48 r 1736 1 0 -98
8898506665       00:03:33.571 +10:04:48.52 2000.0 19.03 r  987 1 0 -98
8953758166       00:03:34.891 +10:04:53.00 2000.0 20.22 r 6059 1 0 -98
