objID,raMean,decMean,rKronMag
119980010847158957,1.08472076,9.99041915,23.030099868774414
119980010901187154,1.09011874,9.98889736,-999.0
119980010927205159,1.09272018,9.9872365,-999.0
119980010942070720,1.09415384,9.98342631,-999.0
119980010942070720,1.09415384,9.98342631,-999.0
119990008379950883,0.83799493,9.99206163,-999.0
119990008379950883,0.83799493,9.99206163,-999.0
119990008401987479,0.84026811,9.99744261,22.831899642944336
119990008401987479,0.84026811,9.99744261,22.701400756835938
119990008410522429,0.84105476,9.99329113,-999.0
119990008440485837,0.8440957,9.99627628,22.802200317382812
119990008440485837,0.8440957,9.99627628,22.624099731445312
119990008472675368,0.84726856,9.995719,23.09119987487793
119990008472675368,0.84726856,9.995719,23.149200439453125
119990008499337262,0.84989672,9.99731874,23.690399169921875
119990008499337262,0.84989672,9.99731874,23.468700408935547
119990008570491349,0.85703488,9.99243878,21.379899978637695
119990008570491349,0.85703488,9.99243878,21.408000946044922
119990008634351984,0.86346344,9.9928442,22.26289939880371
119990008634351984,0.86346344,9.9928442,22.298900604248047
119990008726913591,0.87278328,9.99422961,16.80389976501465
119990008726913591,0.87278328,9.99422961,16.800500869750977
119990008737089768,0.87375862,9.99931386,21.666500091552734
119990008737089768,0.87375862,9.99931386,21.678600311279297
119990008818705014,0.8818702,9.99544644,-999.0
119990008828872191,0.88288752,9.99310687,-999.0
119990008840061095,0.88407509,9.99218984,21.107099533081055
119990008840061095,0.88407509,9.99218984,21.015499114990234
119990008859753146,0.88601165,9.9938962,20.0226993560791
119990008859753146,0.88601165,9.9938962,20.02400016784668
119990009284539374,0.9285183,9.99903174,20.3887996673584
119990009316019406,0.93166692,9.99901625,20.718399047851562
119990009316019406,0.93166692,9.99901625,20.778099060058594
119990009328251479,0.932841,9.99246258,22.233299255371094
119990009328251479,0.932841,9.99246258,22.312700271606445
119990009346012262,0.93462403,9.99316034,22.69969940185547
119990009346012262,0.93462403,9.99316034,22.815200805664062
119990009367938255,0.93688703,9.99816448,21.66670036315918
119990009367938255,0.93688703,9.99816448,21.690099716186523
119990009392145289,0.93921404,9.99567595,-999.0
119990009480403366,0.94804049,9.99407856,-999.0
119990009480403366,0.94804049,9.99407856,-999.0
119990009524891149,0.95250242,9.99216952,-999.0
119990009524891149,0.95250242,9.99216952,22.852699279785156
