_RAJ2000	_DEJ2000	_V	RAJ2000	DEJ2000	objID	f_objID	Qual	e_RAJ2000	e_DEJ2000	Epoch	Ns	Nd	gmag	e_gmag	gKmag	e_gKmag	gFlags	rmag	e_rmag	rKmag	e_rKmag	rFlags	imag	e_imag	iKmag	e_iKmag	iFlags	zmag	e_zmag	zKmag	e_zKmag	zFlags	ymag	e_ymag	yKmag	e_yKmag	yFlags
001.08611215000	+09.82654854000	VizieR	001.086112150	+09.826548540	119790010860832399	436363264	52	0.0846	0.0846	55896.515937500	3	6	 	 	 	 	16416	 	 	 	 	114720	21.8730	0.2248	21.4998	0.2358	115000	21.2642	0.1881	20.7716	0.2358	115000	 	 	 	 	16416
001.07056307000	+09.81086094000	VizieR	001.070563070	+09.810860940	119770010706013663	436363264	52	0.0952	0.0952	56173.789456020	3	4	 	 	 	 	16416	21.8263	0.0246	21.6228	0.2300	115000	21.9571	0.2422	22.0606	0.3320	115000	 	 	 	 	114720	 	 	 	 	16416
001.08945831000	+09.81516742000	VizieR	001.089458310	+09.815167420	119770010894218753	444915712	53	0.0488	0.0635	55879.304652780	4	22	21.4589	0.1131	20.5742	0.1392	16892216	21.0978	0.0342	20.0906	0.0291	16892216	20.8699	0.0479	19.9049	0.1044	16892216	20.8028	0.0279	19.8232	0.0184	16892216	 	 	 	 	16416
001.06430561000	+09.82699134000	VizieR	001.064305610	+09.826991340	119790010643992894	444915712	53	0.0358	0.0304	56078.758171300	4	26	 	 	 	 	16416	21.8663	0.1758	21.4191	0.1190	16892216	20.7030	0.0333	20.2031	0.0277	16892216	20.3211	0.0158	19.6741	0.0628	16892216	19.7318	0.2003	19.1954	0.0217	115000
001.07843811000	+09.82927856000	VizieR	001.078438110	+09.829278560	119790010784005686	436527104	52	0.0559	0.0343	56229.021504630	4	16	 	 	 	 	16416	21.9814	0.1599	21.9428	0.2501	115000	21.2442	0.0589	21.1074	0.0757	115000	20.7219	0.0542	20.6041	0.0816	115000	 	 	 	 	114720
001.08966679000	+09.84272353000	VizieR	001.089666790	+09.842723530	119810010896431819	436527104	52	0.0095	0.0059	56123.962337960	5	54	21.4847	0.0532	21.6838	0.0595	115000	20.1561	0.0148	20.2689	0.0429	115000	19.2305	0.0133	19.3601	0.0144	115000	18.7459	0.0172	18.8532	0.0113	115000	18.5178	0.0198	18.6076	0.0444	115000
001.10281035000	+09.85405960000	VizieR	001.102810350	+09.854059600	119820011028045414	444915712	53	0.0089	0.0089	55973.575659720	5	54	21.3649	0.0222	21.1042	0.0726	115000	20.0642	0.0206	19.7503	0.0318	16892216	19.5149	0.0554	19.2543	0.0380	16892216	19.2937	0.0248	18.9227	0.0377	16892216	19.0357	0.0423	18.8515	0.0424	115000
001.08564806000	+09.83425069000	VizieR	001.085648060	+09.834250690	119800010856191619	436527104	52	0.0072	0.0037	56174.454895830	5	56	21.6470	0.0357	21.7693	0.1668	115000	20.4386	0.0230	20.5525	0.0478	115000	19.2344	0.0069	19.3519	0.0468	115000	18.6491	0.0024	18.8276	0.0318	115000	18.3768	0.0349	18.4258	0.0741	115000
001.10065344000	+09.83467685000	VizieR	001.100653440	+09.834676850	119800011006252256	436527104	52	0.0571	0.0723	55768.442048610	3	8	 	 	 	 	16416	22.0004	0.1147	21.8675	0.2075	115000	21.5728	0.0781	 	 	115000	 	 	 	 	114720	 	 	 	 	16416
001.09611493000	+09.83237843000	VizieR	001.096114930	+09.832378430	119790010960979448	436363264	52	0.0648	0.0648	56037.695254630	4	6	 	 	 	 	16416	 	 	 	 	114720	21.6557	0.0919	21.4151	0.2335	114992	21.0725	0.1318	20.8206	0.0468	115000	 	 	 	 	114720
001.11390058000	+09.83472661000	VizieR	001.113900580	+09.834726610	119800011138612195	436527104	52	0.0759	0.0499	56211.329155090	3	14	 	 	 	 	16416	22.0399	0.0442	22.1622	0.0461	115000	21.4937	0.0593	21.3543	0.1730	115000	21.2045	0.1825	21.1364	0.2583	115000	 	 	 	 	16416
001.08561525000	+09.84332972000	VizieR	001.085615250	+09.843329720	119810010856272508	444915712	53	0.0154	0.0148	56035.141608800	5	44	22.0348	0.1868	22.1435	0.3005	115000	20.7685	0.0285	20.3361	0.0539	16892216	20.1814	0.0740	19.7602	0.0576	16892216	19.8544	0.0388	19.4091	0.0515	16892216	19.5297	0.0578	19.2502	0.0928	115000
001.10007951000	+09.84973199000	VizieR	001.100079510	+09.849731990	119820011000970270	436363264	52	0.0799	0.0799	55938.286712960	3	9	 	 	 	 	16416	22.1001	0.1224	21.9193	0.0938	115000	21.6282	0.2296	 	 	115000	 	 	 	 	114720	 	 	 	 	16416
001.09236783000	+09.83779581000	VizieR	001.092367830	+09.837795810	119800010923735876	444915712	53	0.0127	0.0200	56069.471597220	5	43	22.0832	0.1735	20.6187	0.1297	16892472	20.8999	0.0421	20.7021	0.0607	16892216	20.2704	0.0409	20.1769	0.0531	16892216	19.9961	0.0292	19.8314	0.1186	16892216	19.7449	0.1092	19.5333	0.2424	115000
001.10848725000	+09.83586360000	VizieR	001.108487250	+09.835863600	119800011084163611	436527104	52	0.0477	0.0488	55938.219305560	5	15	22.0056	0.1732	20.9490	0.1591	16892216	21.8723	0.1115	21.5907	0.1566	115000	21.4807	0.0426	21.5122	0.0393	115000	20.6439	0.1684	20.5073	0.2576	114992	 	 	 	 	114720
001.10637408000	+09.83083901000	VizieR	001.106374080	+09.830839010	119790011063987580	444915712	53	0.0449	0.0375	56059.486701390	5	29	 	 	 	 	114720	21.6000	0.0456	21.0659	0.1349	16892216	21.2597	0.1031	20.8803	0.0957	16892216	20.7585	0.0782	20.3510	0.0646	16892216	20.3346	0.2631	 	 	118840
001.10746655000	+09.83296807000	VizieR	001.107466550	+09.832968070	119790011074589961	436527104	52	0.0286	0.0302	56086.325659720	4	22	 	 	 	 	16416	21.6473	0.0196	21.5261	0.1715	115000	20.9381	0.0545	20.6934	0.1177	115000	20.6854	0.1265	20.4816	0.1734	115000	 	 	 	 	114720
001.11600186000	+09.84398796000	VizieR	001.116001860	+09.843987960	119810011160013410	436285440	52	0.1264	0.1264	55470.966712960	3	3	 	 	 	 	16416	 	 	 	 	114720	22.1009	0.0447	22.3125	0.0263	115000	 	 	 	 	114720	 	 	 	 	16416
001.01997996000	+09.81070164000	VizieR	001.019979960	+09.810701640	119770010199153407	444915712	53	0.0369	0.0313	56095.982118060	5	41	21.9161	0.0891	21.1765	0.3200	16892216	21.7488	0.0436	21.1305	0.0900	16892216	20.9750	0.0393	20.4150	0.0820	16892216	20.6438	0.0605	20.2501	0.1196	16892216	19.8849	0.1740	19.8152	0.2810	115000
001.01594296000	+09.79628986000	VizieR	001.015942960	+09.796289860	119750010159036013	436527104	52	0.0403	0.0451	55892.013032410	4	19	22.2869	0.1966	22.1338	0.2887	115256	22.0052	0.0658	21.5833	0.1563	16892216	21.4910	0.0945	21.3239	0.1321	115000	21.2824	0.0176	20.8776	0.1484	115000	 	 	 	 	16416
001.00518605000	+09.80183740000	VizieR	001.005186050	+09.801837400	119760010051252680	436527104	52	0.0491	0.0713	55808.982141200	4	14	22.3539	0.2647	 	 	118840	21.9522	0.1404	 	 	115000	21.5899	0.0728	21.2151	0.1410	115000	 	 	 	 	114720	20.2347	0.2147	 	 	20536
001.02368307000	+09.79898574000	VizieR	001.023683070	+09.798985740	119750010236329380	436527104	52	0.4353	1.0868	55641.574641200	3	7	 	 	 	 	16416	21.9360	0.0851	21.6423	0.1752	115000	21.6921	0.1162	21.1672	0.2347	115000	 	 	 	 	114720	 	 	 	 	16416
001.02134897000	+09.80962784000	VizieR	001.021348970	+09.809627840	119770010213432105	436527104	52	0.0062	0.0036	56098.383796300	5	62	21.6335	0.1232	20.8523	0.3025	115000	20.3968	0.0182	20.4520	0.0454	115000	19.0872	0.0081	19.1670	0.0095	115000	18.4977	0.0053	18.5894	0.0195	115000	18.1893	0.0244	18.2637	0.0411	115000
001.01395816000	+09.79541099000	VizieR	001.013958160	+09.795410990	119750010139445009	436527104	52	0.0697	0.0691	56020.004560190	5	7	 	 	 	 	114720	 	 	 	 	114720	21.5285	0.0566	20.9846	0.2840	115000	 	 	 	 	114720	 	 	 	 	114720
001.00917825000	+09.81574078000	VizieR	001.009178250	+09.815740780	119770010092299312	436527104	52	0.0222	0.0191	56028.442210650	4	38	 	 	 	 	16416	21.7816	0.0485	21.6023	0.1091	115000	20.9410	0.0317	20.7959	0.0535	115000	20.4898	0.0455	20.4865	0.1901	115000	19.7905	0.0488	19.4150	0.0816	16892216
001.01088512000	+09.80814377000	VizieR	001.010885120	+09.808143770	119770010108570389	444915712	53	0.0232	0.0317	55922.359444440	5	41	21.9432	0.1878	21.7057	0.2270	16892216	21.2140	0.0425	20.6480	0.0365	16892216	20.9597	0.0893	20.2836	0.0349	16892216	20.8240	0.0620	19.8898	0.1012	16892216	20.0235	0.1614	19.4902	0.2093	16892216
001.00210493000	+09.80035949000	VizieR	001.002104930	+09.800359490	119760010021040967	436527104	52	0.1047	0.0751	55818.222106480	4	7	 	 	 	 	114720	22.0450	0.1206	 	 	115000	21.5943	0.1882	21.4216	0.2049	115000	21.2295	0.1854	20.8693	0.2186	115000	 	 	 	 	16416
001.03318114000	+09.82273142000	VizieR	001.033181140	+09.822731420	119780010331617763	444915712	53	0.0519	0.0805	55978.248043980	4	17	22.0566	0.0048	21.8819	0.0772	115000	21.9030	0.0907	21.6540	0.0817	115000	21.4826	0.0882	21.1858	0.1390	16892216	 	 	 	 	114720	 	 	 	 	16416
001.02735130000	+09.83418467000	VizieR	001.027351300	+09.834184670	119800010272991563	436527104	52	0.0060	0.0080	56193.441921300	5	58	21.1991	0.0377	21.1264	0.0791	115000	19.9239	0.0166	20.0352	0.0131	115000	18.8427	0.0173	18.9465	0.0184	115000	18.3133	0.0135	18.4121	0.0143	115000	18.0545	0.0111	18.1417	0.0277	115000
001.03906708000	+09.82956534000	VizieR	001.039067080	+09.829565340	119790010390706016	436527104	52	0.0281	0.0110	55991.759849540	5	56	21.3506	0.0452	21.5047	0.0855	115000	20.6512	0.0248	20.7470	0.0438	115000	20.3325	0.0202	20.4479	0.0566	115000	20.3762	0.1615	20.1456	0.3171	115000	20.0900	0.0993	20.1352	0.2460	115000
