_RAJ2000	_DEJ2000	_V	mode	q_mode	cl	SDSS8	m_SDSS8	Im	RA_ICRS	DE_ICRS	zsp	umag	e_umag	gmag	e_gmag	rmag	e_rmag	imag	e_imag	zmag	e_zmag	Q	ObsDate	objID
000.98345500	+09.74269300	VizieR	1	+	6	J000356.02+094433.7	 	Im	000.983455	+09.742693	 	20.829	0.095	18.047	0.006	16.649	0.005	16.042	0.005	15.687	0.007	3	2008.8359	1237678906246103149
000.98257700	+09.67716400	VizieR	1	+	6	J000355.81+094037.7	 	Im	000.982577	+09.677164	 	18.913	0.025	16.762	0.004	15.932	0.004	15.658	0.005	15.491	0.006	3	2008.8359	1237678906246103146
000.97229200	+09.73792600	VizieR	1	+	6	J000353.35+094416.5	 	Im	000.972292	+09.737926	 	20.936	0.102	18.171	0.007	16.673	0.005	15.717	0.005	15.204	0.006	3	2008.8359	1237678906246103133
000.96829700	+09.86201500	VizieR	1	+	6	J000352.39+095143.2	 	Im	000.968297	+09.862015	 	18.296	0.015	16.446	0.005	15.706	0.006	15.415	0.006	15.281	0.006	3	2008.9968	1237679318552870973
000.96795400	+09.71064200	VizieR	1	+	6	J000352.30+094238.3	 	Im	000.967954	+09.710642	 	19.058	0.028	17.258	0.005	16.465	0.004	16.149	0.005	15.947	0.007	3	2008.8359	1237678906246103131
000.96711500	+09.65613100	VizieR	1	+	6	J000352.10+093922.0	 	Im	000.967115	+09.656131	 	20.656	0.082	17.835	0.006	16.393	0.004	15.806	0.005	15.447	0.006	3	2008.8359	1237678906246103129
000.96346500	+09.70253200	VizieR	1	+	6	J000351.23+094209.1	 	Im	000.963465	+09.702532	 	19.811	0.045	17.097	0.005	15.631	0.004	14.808	0.004	14.344	0.005	3	2008.8359	1237678906246103119
000.96148300	+09.79736700	VizieR	1	+	6	J000350.75+094750.5	 	Im	000.961483	+09.797367	 	16.939	0.008	15.908	0.004	15.543	0.005	15.405	0.006	15.348	0.006	3	2008.9968	1237679318552870970
000.94948200	+09.79669500	VizieR	1	+	6	J000347.87+094748.1	 	Im	000.949482	+09.796695	 	18.683	0.018	16.834	0.005	16.069	0.006	15.776	0.006	15.607	0.006	3	2008.9968	1237679318552870957
000.94531400	+09.82444600	VizieR	1	+	6	J000346.87+094928.0	 	Im	000.945314	+09.824446	 	17.732	0.011	15.801	0.004	15.021	0.005	14.726	0.006	14.561	0.005	3	2008.9968	1237679318552870950
000.94304800	+09.79501400	VizieR	1	+	6	J000346.33+094742.0	 	Im	000.943048	+09.795014	 	20.730	0.058	18.033	0.006	16.718	0.006	16.194	0.006	15.888	0.007	3	2008.9968	1237679318552871019
000.93980800	+09.68329700	VizieR	1	+	6	J000345.55+094059.8	 	Im	000.939808	+09.683297	 	18.993	0.026	17.319	0.005	16.606	0.005	16.336	0.005	16.176	0.008	3	2008.8359	1237678906246037665
000.93184000	+09.85493400	VizieR	1	+	6	J000343.64+095117.7	 	Im	000.931840	+09.854934	 	20.589	0.052	17.731	0.006	16.314	0.006	15.713	0.006	15.369	0.006	3	2008.9968	1237679318552871015
000.91913800	+09.73351000	VizieR	1	+	6	J000340.59+094400.6	 	Im	000.919138	+09.733510	 	17.876	0.014	16.613	0.004	16.131	0.004	15.960	0.005	15.872	0.007	3	2008.8359	1237678906246037549
000.91344800	+09.74478700	VizieR	1	+	6	J000339.22+094441.2	 	Im	000.913448	+09.744787	 	18.227	0.017	16.530	0.004	15.838	0.004	15.583	0.005	15.444	0.006	3	2008.8359	1237678906246037545
000.87855800	+09.84807700	VizieR	1	+	6	J000330.85+095053.0	 	Im	000.878558	+09.848077	 	19.753	0.032	16.980	0.005	15.661	0.005	15.096	0.005	14.716	0.005	3	2008.9968	1237679318552870990
000.86640800	+09.71595300	VizieR	1	+	6	J000327.93+094257.4	 	Im	000.866408	+09.715953	 	19.999	0.050	17.301	0.005	16.012	0.004	15.485	0.004	15.141	0.005	3	2008.8359	1237678906246037609
000.86215800	+09.63143800	VizieR	1	+	6	J000326.91+093753.1	 	Im	000.862158	+09.631438	 	20.283	0.061	17.567	0.005	16.301	0.004	15.804	0.005	15.522	0.006	3	2008.8359	1237678906246037594
000.85980900	+09.64084700	VizieR	1	+	6	J000326.35+093827.0	 	Im	000.859809	+09.640847	 	17.615	0.012	15.815	0.003	15.099	0.004	14.836	0.004	14.692	0.005	3	2008.8359	1237678906246037529
000.85944200	+09.77461600	VizieR	1	+	6	J000326.26+094628.6	 	Im	000.859442	+09.774616	 	19.990	0.037	17.485	0.005	16.397	0.006	15.859	0.005	15.747	0.007	3	2008.9968	1237679318552805561
000.85349900	+09.70225200	VizieR	1	+	6	J000324.84+094208.1	 	Im	000.853499	+09.702252	 	19.235	0.030	17.508	0.005	16.818	0.005	16.545	0.005	16.403	0.009	3	2008.8359	1237678906246037588
000.84252600	+09.74597000	VizieR	1	+	6	J000322.20+094445.4	 	Im	000.842526	+09.745970	 	18.922	0.025	17.275	0.005	16.605	0.004	16.387	0.005	16.292	0.009	3	2008.8359	1237678906246037585
000.82726600	+09.74875400	VizieR	1	+	6	J000318.54+094455.5	 	Im	000.827266	+09.748754	 	19.045	0.027	16.925	0.004	16.034	0.004	15.698	0.004	15.551	0.006	3	2008.8359	1237678906246037578
000.81606500	+09.75864100	VizieR	1	+	6	J000315.85+094531.1	 	Im	000.816065	+09.758641	 	18.202	0.017	16.758	0.004	16.161	0.004	15.950	0.005	15.824	0.007	3	2008.8359	1237678906246037508
000.81172300	+09.78965100	VizieR	1	+	6	J000314.81+094722.7	 	Im	000.811723	+09.789651	 	18.829	0.019	17.220	0.005	16.588	0.006	16.362	0.006	16.220	0.008	3	2008.9968	1237679318552805447
000.78663800	+09.79561300	VizieR	1	+	6	J000308.79+094744.2	 	Im	000.786638	+09.795613	 	17.789	0.012	16.000	0.004	15.263	0.005	15.007	0.006	14.830	0.006	3	2008.9968	1237679318552805436
000.77150900	+09.62906600	VizieR	1	+	6	J000305.16+093744.6	 	Im	000.771509	+09.629066	 	19.587	0.038	17.272	0.005	16.304	0.004	15.957	0.005	15.775	0.007	3	2008.8359	1237678906245972131
000.75656100	+09.85183900	VizieR	1	+	6	J000301.57+095106.6	 	Im	000.756561	+09.851839	 	18.398	0.016	17.047	0.004	16.536	0.006	16.355	0.006	16.239	0.008	3	2008.9968	1237679318552805433
000.74986900	+09.88573600	VizieR	1	+	6	J000259.96+095308.6	 	Im	000.749869	+09.885736	 	20.728	0.058	17.938	0.006	16.459	0.006	15.772	0.006	15.369	0.007	3	2008.9968	1237679318552805486
000.74450900	+09.76330600	VizieR	1	+	6	J000258.68+094547.9	 	Im	000.744509	+09.763306	 	20.762	0.062	18.076	0.006	16.847	0.006	16.389	0.006	16.061	0.008	3	2008.9968	1237679318552805475
000.73974700	+09.89656700	VizieR	1	+	6	J000257.53+095347.6	 	Im	000.739747	+09.896567	 	17.218	0.009	15.882	0.004	15.413	0.005	15.239	0.006	15.162	0.006	3	2008.9968	1237679318552805396
000.73965200	+09.74995100	VizieR	1	+	6	J000257.51+094459.8	 	Im	000.739652	+09.749951	 	18.114	0.016	16.081	0.004	15.190	0.004	14.839	0.004	14.638	0.005	3	2008.8359	1237678906245972000
000.73205300	+09.84173300	VizieR	1	 	6	J000255.69+095030.2	 	Im	000.732053	+09.841733	 	19.736	0.032	17.735	0.006	16.864	0.006	16.503	0.006	16.295	0.008	3	2008.9968	1237679318552805391
000.70515800	+09.83096100	VizieR	1	+	6	J000249.23+094951.4	 	Im	000.705158	+09.830961	 	18.842	0.019	16.506	0.004	15.600	0.005	15.293	0.006	15.106	0.006	3	2008.9968	1237679318552739916
000.69483500	+09.64679500	VizieR	1	+	6	J000246.76+093848.4	 	Im	000.694835	+09.646795	 	20.151	0.055	17.955	0.006	16.970	0.005	16.589	0.005	16.361	0.009	3	2008.8359	1237678906245972071
000.68833200	+09.76711900	VizieR	1	+	6	J000245.20+094601.6	 	Im	000.688332	+09.767119	 	19.252	0.024	17.695	0.005	16.997	0.006	16.682	0.006	16.498	0.009	3	2008.9968	1237679318552739914
000.64954100	+09.84248400	VizieR	1	+	6	J000235.89+095032.9	 	Im	000.649541	+09.842484	 	18.674	0.018	16.674	0.004	15.878	0.005	15.566	0.006	15.397	0.006	3	2008.9968	1237679318552739884
000.63110400	+09.77408100	VizieR	1	+	6	J000231.46+094626.6	 	Im	000.631104	+09.774081	 	17.551	0.010	15.813	0.004	15.110	0.005	14.851	0.006	14.709	0.006	3	2008.9968	1237679318552739869
000.59802300	+09.89203600	VizieR	1	 	6	J000223.52+095331.3	 	Im	000.598023	+09.892036	 	16.331	0.008	15.178	0.005	16.110	0.014	16.634	0.016	14.214	0.007	3	2008.9968	1237679318552739847
000.59730200	+09.70611700	VizieR	1	+	6	J000223.35+094222.0	 	Im	000.597302	+09.706117	 	17.818	0.014	16.395	0.004	15.745	0.004	15.504	0.004	15.366	0.006	3	2008.8359	1237678906245906476
000.59664000	+09.88850900	VizieR	1	+	6	J000223.19+095318.6	 	Im	000.596640	+09.888509	 	17.553	0.011	16.178	0.004	15.599	0.005	15.366	0.006	15.228	0.006	3	2008.9968	1237679318552739848
000.59335400	+09.75707400	VizieR	1	+	6	J000222.40+094525.4	 	Im	000.593354	+09.757074	 	19.320	0.032	17.021	0.004	16.053	0.004	15.696	0.004	15.464	0.006	3	2008.8359	1237678906245906559
000.58927500	+09.72997100	VizieR	1	+	6	J000221.42+094347.9	 	Im	000.589275	+09.729971	 	20.928	0.097	18.007	0.006	16.793	0.005	16.313	0.005	16.019	0.008	3	2008.8359	1237678906245906554
001.15344100	+10.12228400	VizieR	1	+	6	J000436.82+100720.2	 	Im	001.153441	+10.122284	 	18.283	0.019	16.926	0.004	16.442	0.004	16.268	0.005	16.197	0.008	3	2008.8359	1237678906783039581
001.15004700	+09.99655200	VizieR	1	+	6	J000436.01+095947.5	 	Im	001.150047	+09.996552	 	18.165	0.018	16.913	0.004	16.435	0.004	16.255	0.005	16.178	0.008	3	2008.8359	1237678906783039504
001.13665500	+10.10941800	VizieR	1	+	6	J000432.79+100633.9	 	Im	001.136655	+10.109418	 	20.158	0.062	17.768	0.006	16.696	0.005	16.297	0.005	16.069	0.008	3	2008.8359	1237678906783039650
001.13498800	+10.09586800	VizieR	1	+	6	J000432.39+100545.1	 	Im	001.134988	+10.095868	 	16.767	0.008	15.600	0.003	15.174	0.004	15.006	0.004	14.963	0.005	3	2008.8359	1237678906783039501
001.11634400	+10.04734800	VizieR	1	+	6	J000427.92+100250.4	 	Im	001.116344	+10.047348	 	19.244	0.033	17.385	0.005	16.576	0.005	16.251	0.005	16.093	0.008	3	2008.8359	1237678906783039644
001.09680700	+10.13814800	VizieR	1	+	6	J000423.23+100817.3	 	Im	001.096807	+10.138148	 	18.534	0.021	17.070	0.004	16.484	0.004	16.252	0.005	16.158	0.008	3	2008.8359	1237678906783039490
001.09351800	+09.91015900	VizieR	1	+	6	J000422.44+095436.5	 	Im	001.093518	+09.910159	 	19.193	0.024	16.977	0.005	16.035	0.006	15.679	0.006	15.455	0.006	3	2008.9968	1237679318552936517
001.09247600	+10.01717200	VizieR	1	+	6	J000422.19+100101.8	 	Im	001.092476	+10.017172	 	18.699	0.024	16.669	0.004	15.855	0.004	15.538	0.004	15.383	0.006	3	2008.8359	1237678906783039640
001.08984800	+09.91243500	VizieR	1	+	6	J000421.56+095444.7	 	Im	001.089848	+09.912435	 	18.044	0.013	16.793	0.005	16.329	0.006	16.169	0.006	16.092	0.008	3	2008.9968	1237679318552936518
001.07631000	+10.05260100	VizieR	1	+	6	J000418.31+100309.3	 	Im	001.076310	+10.052601	 	16.667	0.008	15.534	0.003	15.262	0.004	15.165	0.004	15.176	0.006	3	2008.8359	1237678906782974035
001.05755400	+10.01062600	VizieR	1	+	6	J000413.81+100038.2	 	Im	001.057554	+10.010626	 	17.432	0.012	15.974	0.004	15.418	0.004	15.190	0.004	15.092	0.005	3	2008.8359	1237678906782974027
001.05096900	+10.17006100	VizieR	1	+	6	J000412.23+101012.2	 	Im	001.050969	+10.170061	 	17.813	0.014	16.607	0.004	16.073	0.004	15.816	0.004	15.711	0.007	3	2008.8359	1237678906782974021
001.05067400	+10.07785100	VizieR	1	+	6	J000412.16+100440.2	 	Im	001.050674	+10.077851	 	20.869	0.105	18.122	0.006	16.945	0.005	16.517	0.005	16.296	0.009	3	2008.8359	1237678906782974109
001.04878600	+10.19632200	VizieR	1	+	6	J000411.70+101146.7	 	Im	001.048786	+10.196322	 	19.067	0.023	17.402	0.005	16.738	0.006	16.519	0.006	16.407	0.009	3	2008.9968	1237679319089807499
001.03902300	+09.92591300	VizieR	1	+	6	J000409.36+095533.2	 	Im	001.039023	+09.925913	 	16.821	0.008	15.685	0.004	15.229	0.005	14.993	0.005	14.982	0.005	3	2008.9968	1237679318552936471
001.03900700	+10.07864200	VizieR	1	+	6	J000409.36+100443.1	 	Im	001.039007	+10.078642	 	16.779	0.009	15.630	0.003	15.305	0.004	15.184	0.004	15.167	0.006	3	2008.8359	1237678906782974016
001.02690700	+10.10577600	VizieR	1	+	6	J000406.45+100620.7	 	Im	001.026907	+10.105776	 	18.068	0.016	16.606	0.004	16.079	0.004	15.876	0.005	15.785	0.007	3	2008.8359	1237678906782974012
001.02210800	+10.12878500	VizieR	1	+	6	J000405.30+100743.6	 	Im	001.022108	+10.128785	 	19.205	0.032	16.969	0.004	16.114	0.004	15.800	0.005	15.635	0.007	3	2008.8359	1237678906782974097
001.02158200	+10.15227100	VizieR	1	+	6	J000405.18+100908.1	 	Im	001.021582	+10.152271	 	18.151	0.017	16.781	0.004	16.243	0.004	16.013	0.005	15.921	0.007	3	2008.8359	1237678906782974008
001.01521800	+10.10559400	VizieR	1	+	6	J000403.65+100620.1	 	Im	001.015218	+10.105594	 	17.383	0.011	16.056	0.004	15.564	0.004	15.370	0.004	15.315	0.006	3	2008.8359	1237678906782974004
