# Mask name, center:
RMJ0219B           2:19:48.41    1:29:01.5  2000.0 PA=210.00 ##

#  Guider center:    2:19:40.75    1:28:09.8

# Selected Objects:

0315809545       02:20:07.579 +01:23:57.25 2000.0 21.64 r   43 1 0 -10
0345984459       02:20:08.307 +01:23:41.95 2000.0 21.39 r  466 1 0 -10
8566126616       02:19:25.594 +01:19:48.62 2000.0 21.26 r 1374 1 0 -10
8619942438       02:19:26.890 +01:19:36.14 2000.0 20.37 r 2072 1 0 -10
8656673962       02:19:27.758 +01:19:40.60 2000.0 21.04 r  295 1 0 -10
8670950800       02:19:28.098 +01:19:31.53 2000.0 21.01 r  794 1 0 -10
8797688216       02:19:31.157 +01:19:53.26 2000.0 20.41 r 2439 1 0 -10
8933882021       02:19:34.417 +01:19:35.14 2000.0 20.91 r  347 1 0 -10
9364711367       02:19:44.751 +01:19:32.51 2000.0 21.04 r 2218 1 0 -10
9689607617       02:19:52.534 +01:19:51.28 2000.0 21.35 r   36 1 0 -10
0094735554       02:20:02.300 +01:19:45.18 2000.0 21.15 r 1195 1 0 -10
0134975979       02:20:03.234 +01:19:46.36 2000.0 19.53 r   12 1 0 -10
0304167402       02:20:07.308 +01:19:50.96 2000.0 20.88 r  616 1 0 -10
0343183571       02:20:08.251 +01:19:39.40 2000.0 21.55 r  426 1 0 -10
0403415806       02:20:09.701 +01:19:45.90 2000.0 20.95 r 1962 1 0 -10
0557943419       02:20:13.390 +01:19:38.75 2000.0 19.67 r 4828 1 0 -10
0588217544       02:20:14.129 +01:19:51.28 2000.0 20.80 r  711 1 0 -10
0870797699       02:20:20.935 +01:19:52.06 2000.0 21.62 r   42 1 0 -10
1338983907       02:20:32.164 +01:23:40.38 2000.0 19.05 r    8 1 0 -10
1375136243       02:20:32.999 +01:23:47.12 2000.0 21.07 r   30 1 0 -10
7897402148       02:19:09.547 +01:24:05.39 2000.0 21.40 r 1185 1 0 -10
7954897808       02:19:10.910 +01:24:22.20 2000.0 21.08 r  890 1 0 -10
8027001265       02:19:12.664 +01:24:02.29 2000.0 20.97 r 3302 1 0 -10
8036512145       02:19:12.884 +01:24:05.01 2000.0 20.56 r 10315 1 0 -10
8106533190       02:19:14.572 +01:24:08.18 2000.0 21.09 r 1313 1 0 -10
8198284951       02:19:16.764 +01:24:13.61 2000.0 20.99 r  702 1 0 -10
8209159277       02:19:17.045 +01:24:26.52 2000.0 21.45 r  566 1 0 -10
8222102498       02:19:17.346 +01:24:06.26 2000.0 21.14 r 1122 1 0 -10
8369156296       02:19:20.877 +01:24:17.35 2000.0 20.68 r 2604 1 0 -10
8648010234       02:19:27.547 +01:23:59.44 2000.0 20.08 r   21 1 0 -10
9644256224       02:19:51.463 +01:24:17.09 2000.0 19.56 r   44 1 0 -10
9887272605       02:19:57.286 +01:24:06.47 2000.0 21.38 r  123 1 0 -10
0167174613       02:20:04.030 +01:24:12.29 2000.0 20.61 r 1512 1 0 -10
0193832904       02:20:04.639 +01:24:07.17 2000.0 20.50 r  975 1 0 -10
0255495017       02:20:06.119 +01:24:13.82 2000.0 20.45 r 3018 1 0 -10
0572805621       02:20:13.732 +01:24:15.54 2000.0 21.52 r 1131 1 0 -10
1126938980       02:20:27.050 +01:24:25.73 2000.0 21.65 r  363 1 0 -10
8399820613       02:19:21.584 +01:20:00.63 2000.0 21.48 r  737 1 0 -10
8609402493       02:19:26.654 +01:20:06.49 2000.0 21.52 r  431 1 0 -10
8987488256       02:19:35.732 +01:20:23.31 2000.0 19.70 r 1427 1 0 -10
9215582554       02:19:41.188 +01:20:06.38 2000.0 19.41 r 2254 1 0 -10
9319039046       02:19:43.658 +01:20:25.77 2000.0 20.98 r   19 1 0 -10
9551839391       02:19:49.219 +01:20:26.68 2000.0 21.57 r 1127 1 0 -10
9612698840       02:19:50.699 +01:20:25.18 2000.0 21.22 r  720 1 0 -10
9850373937       02:19:56.410 +01:20:10.62 2000.0 21.58 r  877 1 0 -10
9880718676       02:19:57.147 +01:20:24.46 2000.0 21.38 r 1190 1 0 -10
9948206538       02:19:58.790 +01:20:17.94 2000.0 21.06 r  139 1 0 -10
0071172507       02:20:01.720 +01:20:06.02 2000.0 20.87 r  975 1 0 -10
0208879130       02:20:05.006 +01:20:26.10 2000.0 21.23 r  858 1 0 -10
0372782104       02:20:08.933 +01:20:05.12 2000.0 21.42 r 1261 1 0 -10
0506780171       02:20:12.163 +01:19:58.79 2000.0 21.52 r  292 1 0 -10
0801139406       02:20:19.222 +01:20:26.85 2000.0 21.33 r   42 1 0 -10
0810542433       02:20:19.451 +01:20:05.74 2000.0 21.49 r  223 1 0 -10
7809393585       02:19:07.453 +01:24:39.72 2000.0 21.07 r 1586 1 0 -10
7850396345       02:19:08.424 +01:24:48.11 2000.0 21.31 r   36 1 0 -10
8088400610       02:19:14.136 +01:24:30.71 2000.0 21.37 r  934 1 0 -10
8221117834       02:19:17.321 +01:24:52.00 2000.0 20.93 r  645 1 0 -10
8479441690       02:19:23.522 +01:24:33.55 2000.0 21.60 r  763 1 0 -10
8538506711       02:19:24.937 +01:24:49.07 2000.0 21.12 r  231 1 0 -10
8810747980       02:19:31.465 +01:24:52.40 2000.0 20.24 r 1549 1 0 -10
8903797341       02:19:33.699 +01:24:50.75 2000.0 20.86 r 1004 1 0 -10
8228969160       02:19:17.518 +01:20:56.42 2000.0 20.77 r 5116 1 0 -10
8345869974       02:19:20.317 +01:20:58.61 2000.0 20.60 r  392 1 0 -10
8669903091       02:19:28.081 +01:20:38.06 2000.0 21.77 r  664 1 0 -10
9045109894       02:19:37.092 +01:20:58.77 2000.0 20.98 r  756 1 0 -10
9307110056       02:19:43.355 +01:20:29.22 2000.0 19.81 r  651 1 0 -10
9320709137       02:19:43.701 +01:20:55.95 2000.0 21.86 r  437 1 0 -10
9411924605       02:19:45.897 +01:20:42.36 2000.0 21.53 r 1526 1 0 -10
9490696407       02:19:47.804 +01:20:47.52 2000.0 21.68 r  431 1 0 -10
9514871179       02:19:48.360 +01:20:32.20 2000.0 19.36 r  352 1 0 -10
9834047629       02:19:55.988 +01:24:51.44 2000.0 21.81 r  198 1 0 -10
9973581153       02:19:59.349 +01:24:32.53 2000.0 21.59 r  168 1 0 -10
0122907981       02:20:02.960 +01:24:52.50 2000.0 21.37 r  497 1 0 -10
9825578211       02:19:55.815 +01:20:53.38 2000.0 19.16 r 9282 1 0 -10
9934152108       02:19:58.410 +01:20:34.99 2000.0 21.56 r  409 1 0 -10
0005702425       02:20:00.126 +01:20:36.32 2000.0 21.56 r  563 1 0 -10
0112404760       02:20:02.712 +01:20:42.90 2000.0 21.00 r 1689 1 0 -10
0311873031       02:20:07.494 +01:20:37.38 2000.0 19.93 r  757 1 0 -10
0328802448       02:20:07.890 +01:20:35.99 2000.0 21.34 r  572 1 0 -10
0503024465       02:20:12.085 +01:20:41.89 2000.0 21.33 r 1358 1 0 -10
0558552987       02:20:13.400 +01:20:37.87 2000.0 20.61 r  356 1 0 -10
0746930699       02:20:17.935 +01:20:30.88 2000.0 20.62 r 3179 1 0 -10
0849034082       02:20:20.395 +01:20:40.88 2000.0 21.53 r   55 1 0 -10
0551743085       02:20:13.230 +01:24:37.95 2000.0 20.47 r 1445 1 0 -10
0582291865       02:20:13.980 +01:24:33.79 2000.0 21.93 r   14 1 0 -10
0627843278       02:20:15.063 +01:24:38.64 2000.0 21.03 r  893 1 0 -10
0640365175       02:20:15.372 +01:24:43.88 2000.0 20.35 r 1721 1 0 -10
