# Mask name, center:
A384B              2:48:03.30   -2:15:57.3  2000.0 PA=-120.0 ##

#  Guider center:    2:47:54.93   -2:15:44.8

# Selected Objects:

8755108668       02:47:30.145 -02:20:35.13 2000.0 20.62 r 1486 1 0 39
8878220345       02:47:33.091 -02:21:00.21 2000.0 20.23 r  722 1 0 39
9603395538       02:47:50.496 -02:20:44.70 2000.0 20.62 r  315 1 0 39
9611893964       02:47:50.704 -02:20:49.39 2000.0 20.23 r 4539 1 0 39
9706088318       02:47:52.967 -02:20:36.45 2000.0 19.97 r 3843 1 0 39
0071059954       02:48:01.710 -02:20:31.40 2000.0 20.80 r   77 1 0 39
0082506647       02:48:02.023 -02:20:41.14 2000.0 21.75 r   73 1 0 39
0420460781       02:48:10.096 -02:20:58.84 2000.0 20.61 r 2140 1 0 39
0474461638       02:48:11.393 -02:20:56.34 2000.0 18.90 r 22913 1 0 39
0492727196       02:48:11.839 -02:20:39.60 2000.0 19.37 r 7605 1 0 39
0631425606       02:48:15.164 -02:20:44.65 2000.0 20.00 r 7171 1 0 39
1138326629       02:48:27.334 -02:20:41.66 2000.0 20.94 r  180 1 0 39
1436879771       02:48:34.480 -02:20:32.22 2000.0 20.88 r 1768 1 0 39
1551398103       02:48:37.244 -02:20:37.18 2000.0 21.88 r   80 1 0 39
1569103878       02:48:37.674 -02:20:49.80 2000.0 21.38 r   70 1 0 39
1690050767       02:48:40.550 -02:20:58.76 2000.0 20.40 r 4311 1 0 39
1767925650       02:48:42.436 -02:20:44.26 2000.0 20.52 r  242 1 0 39
8136142006       02:47:15.272 -02:15:55.13 2000.0 20.69 r  615 1 0 39
8319627644       02:47:19.691 -02:15:38.53 2000.0 20.66 r 1651 1 0 39
8692419252       02:47:28.635 -02:15:33.56 2000.0 21.68 r  498 1 0 39
8694692015       02:47:28.726 -02:15:55.23 2000.0 20.38 r 1004 1 0 39
8827196946       02:47:31.855 -02:15:40.03 2000.0 21.51 r  347 1 0 39
9043175414       02:47:37.049 -02:15:45.09 2000.0 21.12 r 1833 1 0 39
9252257573       02:47:42.049 -02:15:38.71 2000.0 20.90 r   25 1 0 39
9334145090       02:47:44.047 -02:15:46.16 2000.0 21.11 r  841 1 0 39
9705285871       02:47:52.946 -02:15:43.52 2000.0 20.26 r 5295 1 0 39
0009196586       02:48:00.231 -02:15:41.52 2000.0 20.92 r 1832 1 0 39
0040425409       02:48:00.975 -02:15:45.21 2000.0 20.45 r  683 1 0 39
0105446833       02:48:02.545 -02:15:40.41 2000.0 21.33 r   44 1 0 39
0139358882       02:48:03.361 -02:15:34.53 2000.0 21.15 r  564 1 0 39
0207625333       02:48:04.985 -02:15:45.23 2000.0 21.29 r   84 1 0 39
0486474383       02:48:11.686 -02:15:48.16 2000.0 19.27 r 8157 1 0 39
0606333279       02:48:14.560 -02:15:51.74 2000.0 20.44 r    4 1 0 39
0638732436       02:48:15.360 -02:15:54.29 2000.0 21.40 r   25 1 0 39
0695853784       02:48:16.710 -02:15:49.79 2000.0 21.30 r    5 1 0 39
0863268902       02:48:20.732 -02:15:34.53 2000.0 21.67 r  532 1 0 39
1103456291       02:48:26.477 -02:15:42.47 2000.0 21.30 r  208 1 0 39
1355098083       02:48:32.533 -02:15:37.18 2000.0 20.43 r 1354 1 0 39
1369907518       02:48:32.899 -02:15:38.64 2000.0 19.94 r 6840 1 0 39
1371776429       02:48:32.926 -02:15:41.99 2000.0 19.94 r 3892 1 0 39
1427381827       02:48:34.274 -02:15:56.09 2000.0 21.94 r   62 1 0 39
1430820679       02:48:34.348 -02:15:59.22 2000.0 21.35 r  110 1 0 39
1454029490       02:48:34.901 -02:15:33.01 2000.0 20.50 r 1773 1 0 39
1588406689       02:48:38.139 -02:15:41.14 2000.0 21.93 r  154 1 0 39
1922408275       02:48:46.144 -02:15:36.56 2000.0 18.88 r 11124 1 0 39
2058962328       02:48:49.440 -02:15:54.40 2000.0 21.49 r  196 1 0 39
8396344114       02:47:21.532 -02:10:48.93 2000.0 19.62 r 13313 1 0 39
8451881077       02:47:22.881 -02:10:58.05 2000.0 21.74 r   91 1 0 39
8591633403       02:47:26.212 -02:10:51.77 2000.0 20.90 r   26 1 0 39
8646503410       02:47:27.566 -02:10:50.72 2000.0 20.14 r 3248 1 0 39
8764831889       02:47:30.366 -02:10:55.50 2000.0 21.59 r  204 1 0 39
9029658902       02:47:36.726 -02:10:34.62 2000.0 21.34 r    6 1 0 39
9099783804       02:47:38.424 -02:10:49.99 2000.0 21.88 r   22 1 0 39
9139380320       02:47:39.411 -02:11:00.46 2000.0 21.18 r  204 1 0 39
9186783590       02:47:40.483 -02:10:50.32 2000.0 21.41 r  643 1 0 39
9588391381       02:47:50.147 -02:10:57.23 2000.0 21.36 r 1230 1 0 39
9652831226       02:47:51.672 -02:10:57.66 2000.0 20.67 r    6 1 0 39
9712793655       02:47:53.122 -02:10:50.33 2000.0 18.77 r 15620 1 0 39
9733124217       02:47:53.599 -02:10:48.69 2000.0 20.96 r  689 1 0 39
9876991423       02:47:57.086 -02:10:57.11 2000.0 20.89 r 1373 1 0 39
0157261231       02:48:03.797 -02:10:57.31 2000.0 21.71 r   30 1 0 39
0157318672       02:48:03.785 -02:10:35.61 2000.0 20.97 r 1742 1 0 39
